epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
98,609.88,1.33726,0.50352,0.002,0.96138,0.90074,0.93788,0.59118,1.38102,0.50067,0.00286,0.0010397,0.0010397,0.0010397
99,615.724,1.32994,0.54034,0.002,0.95455,0.89818,0.92091,0.61738,1.33762,0.53336,0.00281,0.0010298,0.0010298,0.0010298
100,621.522,1.33916,0.55198,0.00207,0.96091,0.89803,0.93471,0.56248,1.52861,0.58512,0.00324,0.0010199,0.0010199,0.0010199
101,628.899,1.42454,0.57412,0.00211,0.96415,0.89145,0.94226,0.61369,1.34769,0.53521,0.00271,0.00101,0.00101,0.00101
102,634.753,1.39201,0.57501,0.00206,0.97449,0.89145,0.94413,0.6099,1.41489,0.49615,0.00287,0.0010001,0.0010001,0.0010001
103,640.588,1.41429,0.58109,0.00207,0.97252,0.89474,0.94368,0.62178,1.39686,0.51765,0.00295,0.0009902,0.0009902,0.0009902
104,646.449,1.29764,0.53768,0.00195,0.95751,0.88964,0.93029,0.60089,1.46225,0.5415,0.00307,0.0009803,0.0009803,0.0009803
105,654.909,1.35505,0.57249,0.00198,0.94636,0.89474,0.93732,0.61733,1.38377,0.55726,0.00293,0.0009704,0.0009704,0.0009704
106,660.685,1.34259,0.53437,0.00192,0.96673,0.89803,0.94104,0.62964,1.36994,0.52272,0.00289,0.0009605,0.0009605,0.0009605
107,666.485,1.33422,0.50814,0.0019,0.95484,0.90426,0.94354,0.64128,1.28407,0.45961,0.00262,0.0009506,0.0009506,0.0009506
108,672.441,1.31489,0.52597,0.00191,0.94629,0.90789,0.94205,0.64604,1.26507,0.46698,0.00262,0.0009407,0.0009407,0.0009407
109,678.355,1.33885,0.51957,0.00202,0.98062,0.88487,0.93738,0.59169,1.43982,0.4845,0.00296,0.0009308,0.0009308,0.0009308
110,684.158,1.36106,0.55741,0.00202,0.97133,0.88816,0.93908,0.60368,1.48635,0.53003,0.00309,0.0009209,0.0009209,0.0009209
111,689.961,1.33008,0.53687,0.00199,0.97112,0.88158,0.93165,0.58266,1.53862,0.52849,0.00324,0.000911,0.000911,0.000911
112,695.808,1.30263,0.49891,0.00188,0.96893,0.89803,0.94694,0.60198,1.46139,0.52574,0.00303,0.0009011,0.0009011,0.0009011
113,701.605,1.32568,0.52317,0.00189,0.97281,0.89145,0.93621,0.60058,1.43763,0.49697,0.00305,0.0008912,0.0008912,0.0008912
114,707.39,1.31355,0.51279,0.00195,0.98897,0.88455,0.93505,0.63195,1.30883,0.47674,0.00271,0.0008813,0.0008813,0.0008813
115,713.191,1.334,0.53078,0.00185,0.97123,0.8883,0.93194,0.62742,1.34974,0.4574,0.00281,0.0008714,0.0008714,0.0008714
116,719,1.33246,0.51075,0.00185,0.94824,0.90132,0.93237,0.5982,1.42307,0.49658,0.00302,0.0008615,0.0008615,0.0008615
117,724.797,1.31633,0.52232,0.00183,0.96313,0.90132,0.94293,0.61263,1.39891,0.52522,0.00289,0.0008516,0.0008516,0.0008516
118,730.597,1.32673,0.55316,0.00187,0.935,0.89911,0.94304,0.63058,1.26087,0.52498,0.00261,0.0008417,0.0008417,0.0008417
119,736.424,1.26681,0.53888,0.0019,0.95464,0.8999,0.94111,0.64158,1.28415,0.5195,0.00265,0.0008318,0.0008318,0.0008318
120,742.265,1.30374,0.53757,0.00186,0.96014,0.90789,0.94179,0.64637,1.31625,0.50842,0.00266,0.0008219,0.0008219,0.0008219
121,748.231,1.31145,0.52417,0.00187,0.94741,0.89803,0.93534,0.63352,1.35531,0.4678,0.00279,0.000812,0.000812,0.000812
122,756.805,1.30375,0.54342,0.00188,0.96025,0.87415,0.93178,0.61067,1.371,0.51771,0.00282,0.0008021,0.0008021,0.0008021
123,762.601,1.24209,0.48454,0.00174,0.95815,0.90376,0.9403,0.64869,1.3327,0.48645,0.00277,0.0007922,0.0007922,0.0007922
124,768.525,1.22725,0.46961,0.00174,0.99051,0.87829,0.93521,0.62636,1.37379,0.48791,0.00283,0.0007823,0.0007823,0.0007823
125,778.749,1.3116,0.54036,0.00189,0.98701,0.88158,0.93644,0.65314,1.26917,0.49005,0.00261,0.0007724,0.0007724,0.0007724
126,784.73,1.24874,0.47868,0.00182,0.96881,0.89803,0.94647,0.6598,1.22634,0.52594,0.00253,0.0007625,0.0007625,0.0007625
127,790.861,1.35852,0.59671,0.00205,0.96898,0.89474,0.93521,0.60759,1.41773,0.49711,0.00298,0.0007526,0.0007526,0.0007526
128,796.691,1.27264,0.50144,0.00187,0.95759,0.90789,0.94083,0.65814,1.19082,0.45645,0.00245,0.0007427,0.0007427,0.0007427
129,802.987,1.22653,0.45179,0.00181,0.96778,0.90132,0.93733,0.64039,1.27973,0.49711,0.00259,0.0007328,0.0007328,0.0007328
130,808.813,1.26844,0.51516,0.00174,0.98869,0.89474,0.93679,0.62336,1.36789,0.51191,0.0028,0.0007229,0.0007229,0.0007229
131,814.643,1.21412,0.47041,0.0017,0.98182,0.88805,0.93956,0.66738,1.22226,0.48344,0.00249,0.000713,0.000713,0.000713
132,820.632,1.27826,0.48477,0.00181,0.98053,0.88816,0.94177,0.63577,1.28927,0.46416,0.00265,0.0007031,0.0007031,0.0007031
133,826.449,1.29236,0.53744,0.00188,0.97454,0.89803,0.94112,0.62699,1.35101,0.48297,0.00278,0.0006932,0.0006932,0.0006932
134,835.118,1.20187,0.46558,0.0018,0.97018,0.90461,0.94283,0.64434,1.25824,0.48706,0.00258,0.0006833,0.0006833,0.0006833
135,842.264,1.24452,0.47136,0.00183,0.97812,0.88235,0.94141,0.61558,1.35946,0.47836,0.00281,0.0006734,0.0006734,0.0006734
136,848.093,1.2685,0.49748,0.00188,0.97717,0.88816,0.93879,0.65427,1.23999,0.46391,0.00258,0.0006635,0.0006635,0.0006635
137,853.878,1.26389,0.50823,0.00187,0.96472,0.89803,0.95102,0.63417,1.34109,0.47823,0.00276,0.0006536,0.0006536,0.0006536
138,859.735,1.23644,0.485,0.00182,0.982,0.89714,0.94659,0.66241,1.20259,0.45636,0.00247,0.0006437,0.0006437,0.0006437
139,868.213,1.1986,0.48134,0.00188,0.97511,0.90196,0.94352,0.65367,1.23681,0.45163,0.00257,0.0006338,0.0006338,0.0006338
140,875.429,1.2379,0.47923,0.00178,0.98481,0.88816,0.94769,0.64226,1.27911,0.47458,0.00263,0.0006239,0.0006239,0.0006239
141,882.767,1.23364,0.48549,0.00176,0.98542,0.88905,0.9427,0.63994,1.29059,0.4742,0.00264,0.000614,0.000614,0.000614
142,888.595,1.25113,0.51736,0.00182,0.9652,0.91231,0.94952,0.63223,1.28513,0.48416,0.00265,0.0006041,0.0006041,0.0006041
143,894.465,1.20035,0.47493,0.00174,0.96531,0.91541,0.9516,0.63556,1.31143,0.46453,0.00267,0.0005942,0.0005942,0.0005942
